time,With,Without,MITM,DDoS
1,4.15E+00,3.29E+00,4.79E+00,1.08E+00
2,4.25E+00,4.29E+00,4.43E+00,1.54E+00
3,6.61E+00,3.93E+00,4.43E+00,2.08E+00
4,5.76E+00,3.93E+00,5.07E+00,2.08E+00
5,5.76E+00,4.57E+00,1.12E+01,1.54E+00
6,5.67E+00,1.07E+01,4.24E+00,1.08E+00
7,5.67E+00,3.74E+00,1.28E+01,3.40E+00
8,6.61E+00,1.23E+01,4.52E+00,8.49E-01
9,1.55E+01,4.02E+00,3.61E+00,1.16E+00
10,5.76E+00,3.11E+00,4.70E+00,1.78E+00
11,1.78E+01,4.20E+00,4.79E+00,2.08E+00
12,5.86E+00,4.29E+00,3.97E+00,2.70E+00
13,5.86E+00,3.47E+00,6.07E+00,2.08E+00
14,4.73E+00,5.57E+00,4.52E+00,1.70E+00
15,5.77E+00,4.02E+00,3.79E+00,1.08E+00
16,5.77E+00,3.29E+00,4.61E+00,1.24E+00
17,5.77E+00,4.11E+00,4.61E+00,2.16E+00
18,5.87E+00,4.11E+00,4.52E+00,4.17E+00
19,5.87E+00,4.02E+00,5.07E+00,2.55E+00
20,4.92E+00,4.57E+00,5.43E+00,4.63E-01
21,8.61E+00,4.93E+00,5.16E+00,1.31E+00
22,5.78E+00,4.66E+00,5.43E+00,1.47E+00
23,4.83E+00,4.93E+00,3.70E+00,1.85E+00
24,5.68E+00,3.20E+00,4.88E+00,2.01E+00
25,5.78E+00,4.38E+00,8.72E+00,2.24E+00
26,5.78E+00,8.22E+00,5.25E+00,2.32E+00
27,5.78E+00,4.75E+00,3.97E+00,2.47E+00
28,5.88E+00,3.47E+00,1.25E+01,3.71E+00
29,6.73E+00,1.20E+01,2.24E+00,2.32E+00
30,6.82E+00,1.74E+00,4.15E+00,2.01E+00
31,6.73E+00,3.65E+00,5.34E+00,1.93E+00
32,6.82E+00,4.84E+00,3.42E+00,1.70E+00
33,6.82E+00,2.92E+00,3.42E+00,1.24E+00
34,4.75E+00,2.92E+00,4.79E+00,9.27E-01
35,5.60E+00,4.29E+00,2.51E+00,7.72E-01
36,1.21E+01,2.01E+00,6.62E+00,7.72E-01
37,4.19E+00,6.12E+00,8.90E+00,1.24E+00
38,5.70E+00,8.40E+00,5.34E+00,1.47E+00
39,6.92E+00,4.84E+00,3.61E+00,1.62E+00
40,1.80E+01,3.11E+00,4.34E+00,1.85E+00
41,3.25E+00,3.84E+00,4.52E+00,1.93E+00
42,3.25E+00,4.02E+00,5.16E+00,2.32E+00
43,5.70E+00,4.66E+00,3.88E+00,2.93E+00
44,5.80E+00,3.38E+00,2.87E+00,1.93E+00
45,7.12E+00,2.37E+00,5.16E+00,1.78E+00
46,4.57E+00,4.66E+00,5.16E+00,1.39E+00
47,8.54E+00,4.66E+00,4.61E+00,1.31E+00
48,4.48E+00,4.11E+00,3.97E+00,1.24E+00
49,4.67E+00,3.47E+00,9.08E+00,2.47E+00
50,5.90E+00,8.58E+00,2.14E+00,3.47E+00
51,6.09E+00,1.64E+00,1.38E+01,3.71E+00
52,2.88E+00,1.33E+01,5.25E+00,3.63E+00
53,4.58E+00,4.75E+00,4.52E+00,3.24E+00
54,8.26E+00,4.02E+00,3.97E+00,2.86E+00
55,1.31E+01,3.47E+00,4.43E+00,2.39E+00
56,5.81E+00,3.93E+00,5.25E+00,2.32E+00
57,4.87E+00,4.75E+00,4.43E+00,1.93E+00
58,6.76E+00,3.93E+00,3.97E+00,1.47E+00
59,5.16E+00,3.47E+00,3.97E+00,1.24E+00
60,3.46E+00,3.47E+00,5.16E+00,1.39E+00
61,6.01E+00,4.66E+00,4.61E+00,1.85E+00
62,6.86E+00,4.11E+00,3.79E+00,2.24E+00
63,6.86E+00,3.29E+00,5.16E+00,2.47E+00
64,5.35E+00,4.66E+00,3.33E+00,2.63E+00
65,6.96E+00,2.83E+00,6.16E+00,2.93E+00
66,4.79E+00,5.66E+00,4.24E+00,3.55E+00
67,1.19E+01,3.74E+00,1.46E+01,3.71E+00
68,3.56E+00,1.41E+01,3.79E+00,3.09E+00
69,1.91E+01,3.29E+00,2.33E+00,2.55E+00
70,5.45E+00,1.83E+00,1.61E+01,2.16E+00
71,7.06E+00,1.56E+01,6.07E+00,1.85E+00
72,4.51E+00,5.57E+00,3.61E+00,1.78E+00
73,5.74E+00,3.11E+00,4.34E+00,1.47E+00
74,5.84E+00,3.84E+00,6.07E+00,1.24E+00
75,5.84E+00,5.57E+00,6.07E+00,1.93E+00
76,5.74E+00,5.57E+00,4.43E+00,2.24E+00
77,6.69E+00,3.93E+00,1.17E+01,2.55E+00
78,6.78E+00,1.12E+01,3.88E+00,3.01E+00
79,4.90E+00,3.38E+00,5.07E+00,3.47E+00
80,5.84E+00,4.57E+00,6.07E+00,3.94E+00
81,4.80E+00,3.01E+00,6.07E+00,4.09E+00
82,7.64E+00,4.02E+00,4.43E+00,3.78E+00
83,5.47E+00,5.02E+00,1.17E+01,3.24E+00
84,5.47E+00,3.20E+00,3.88E+00,3.78E+00
85,4.81E+00,3.29E+00,5.07E+00,3.78E+00
86,4.81E+00,3.29E+00,3.51E+00,3.24E+00
87,2.86E+00,4.57E+00,4.52E+00,2.86E+00
88,2.63E+00,3.01E+00,5.52E+00,2.63E+00
