time,"Without WL,BL and TCP Patterns","With WL,BL and TCP Patterns","With WL,BL and TCP Patterns Under Brute Force"
1,2.32E+00,1.40E+00,2.16E+00
2,2.12E+00,1.16E+00,3.52E+00
3,1.96E+00,1.16E+00,3.32E+00
4,1.88E+00,1.48E+00,3.32E+00
5,2.00E+00,8.40E-01,4.12E+00
6,2.88E+00,9.20E-01,4.60E+00
7,2.20E+00,8.40E-01,4.36E+00
8,1.92E+00,1.24E+00,3.80E+00
9,1.76E+00,1.04E+00,3.16E+00
10,2.76E+00,8.40E-01,3.08E+00
11,4.44E+00,1.04E+00,3.24E+00
12,2.92E+00,1.36E+00,3.56E+00
13,2.68E+00,1.36E+00,3.84E+00
14,2.28E+00,1.16E+00,3.24E+00
15,2.16E+00,1.16E+00,3.08E+00
16,1.88E+00,8.40E-01,3.24E+00
17,2.04E+00,6.40E-01,3.56E+00
18,2.20E+00,8.00E-01,3.84E+00
19,2.36E+00,1.72E+00,3.12E+00
20,2.64E+00,2.12E+00,3.24E+00
21,2.88E+00,2.40E+00,3.48E+00
22,2.64E+00,1.92E+00,3.96E+00
23,1.76E+00,8.80E-01,3.16E+00
24,2.68E+00,8.40E-01,3.32E+00
25,2.40E+00,1.08E+00,3.68E+00
26,2.28E+00,9.60E-01,4.92E+00
27,2.00E+00,1.20E+00,5.80E+00
28,1.80E+00,1.40E+00,4.76E+00
29,1.80E+00,1.20E+00,3.80E+00
30,1.80E+00,9.20E-01,3.24E+00
31,1.60E+00,9.20E-01,2.92E+00
32,2.00E+00,9.60E-01,3.12E+00
33,2.76E+00,1.00E+00,3.60E+00
34,2.00E+00,1.16E+00,3.48E+00
35,2.12E+00,1.16E+00,3.12E+00
36,2.28E+00,1.16E+00,3.08E+00
37,2.52E+00,1.72E+00,3.40E+00
38,2.76E+00,1.52E+00,3.68E+00
39,2.60E+00,1.48E+00,3.80E+00
40,2.40E+00,1.32E+00,3.96E+00
41,2.36E+00,1.20E+00,4.00E+00
42,2.68E+00,1.04E+00,4.04E+00
43,2.84E+00,1.20E+00,3.08E+00
44,2.56E+00,1.08E+00,3.88E+00
45,2.44E+00,1.24E+00,4.12E+00
46,2.40E+00,1.24E+00,3.84E+00
47,2.48E+00,1.20E+00,3.72E+00
48,2.76E+00,1.44E+00,3.56E+00
49,2.92E+00,1.24E+00,3.40E+00
50,4.20E+00,1.00E+00,3.24E+00
51,4.96E+00,1.16E+00,3.08E+00
52,2.88E+00,1.36E+00,3.96E+00
53,2.80E+00,1.28E+00,3.56E+00
54,2.96E+00,1.24E+00,3.16E+00
55,2.52E+00,1.16E+00,3.24E+00
56,2.32E+00,1.12E+00,3.40E+00
57,2.92E+00,1.52E+00,3.44E+00
58,2.52E+00,1.28E+00,3.28E+00
59,2.52E+00,9.20E-01,3.16E+00
60,2.68E+00,6.40E-01,3.20E+00
61,2.44E+00,4.80E-01,3.32E+00
62,2.20E+00,3.20E-01,3.56E+00
63,2.76E+00,6.00E-01,3.76E+00
64,2.44E+00,1.80E+00,3.80E+00
65,2.36E+00,2.28E+00,3.64E+00
66,2.20E+00,2.56E+00,3.44E+00
67,2.48E+00,2.16E+00,3.28E+00
68,2.76E+00,1.84E+00,3.28E+00
69,2.96E+00,1.64E+00,3.40E+00
70,2.60E+00,1.48E+00,3.48E+00
71,2.32E+00,1.60E+00,3.72E+00
72,2.24E+00,1.48E+00,3.96E+00
73,2.24E+00,1.64E+00,3.64E+00
74,2.60E+00,1.48E+00,3.40E+00
75,2.80E+00,1.32E+00,3.28E+00
76,2.92E+00,1.24E+00,3.56E+00
77,2.44E+00,1.24E+00,3.64E+00
78,2.12E+00,1.28E+00,3.84E+00
79,1.72E+00,1.40E+00,3.88E+00
80,2.00E+00,1.44E+00,3.96E+00
81,2.24E+00,1.48E+00,3.96E+00
82,2.64E+00,1.52E+00,3.76E+00
83,2.80E+00,1.52E+00,3.64E+00
84,2.88E+00,1.52E+00,3.36E+00
85,2.92E+00,1.52E+00,3.04E+00
86,2.08E+00,1.52E+00,3.16E+00
87,2.12E+00,1.52E+00,3.32E+00
88,2.12E+00,1.52E+00,3.48E+00
89,2.12E+00,1.52E+00,3.72E+00
